MolID,Treatment
COT-00000001-001,TNFa
COT-00000001-002,TNFa
COT-00000001-003,TNFa
COT-00000001-004,TNFa
COT-00000002-001,Pam3Csk4
COT-00000003-001,IFNa2b
COT-00000003-002,IFNa2b
COT-00000004-001,R848
COT-00000004-002,R848
COT-00000004-003,R848
COT-00000005-001,cGAMP
COT-00000006-001,CD3_CD28
COT-00000006-002,CD3_CD28
COT-00000007-001,cGAMP
COT-00000007-002,cGAMP
COT-00000008-001,PolyIC
COT-00000009-001,IFNb
COT-00000010-001,LPS
COT-00000010-003,LPS
COT-00000011-001,IFNy
COT-00000011-002,IFNy
COT-00000012-001,IL-6
COT-00000013-001,IL-12
COT-00000014-001,IL-23
COT-00000015-001,TGFb
COT-00000016-001,oxLDL
COT-00000017-001,IL-4
COT-00000018-001,IL-13
COT-00000019-001,HGF
COT-00000020-001,AngII
COT-00000022-001,PA
COT-00000023-001,BSA
COT-00000024-001,IL-4_IL-13
COT-00000025-001,OA
COT-00000026-001,PA_OA
DMSO,DMSO
MOL-00000369-003,Methotrexate
MOL-00000443-003,FK506
MOL-00000458-003,rapamycin
MOL-00000525-001,M525
MOL-00000576-002,EXP3174
MOL-00001082-002,M082
MOL-00001156-002,Rosiglitazone
MOL-00001267-003,OEA
MOL-00010082-005,M082
MOL-00010082-006,M082
MOL-00010235-002,M235
MOL-00010235-003,M235
MOL-00010255-005,M255
MOL-00010255-006,M255
MOL-00010277-004,M277
MOL-00010423-002,M423
MOL-00010424-001,M424
MOL-00010541-001,IKK-16
MOL-00010553-001,AZ9482
MOL-00010574-002,M574
MOL-00010574-004,Deucravacitinib
MOL-00010574-005,Deucravacitinib
MOL-00010701-002,GSK2256294
MOL-00010730-002,Pomalidomide
MOL-00010730-003,Pomalidomide
MOL-00010731-004,Selisistat
MOL-00010791-002,JQ-1
MOL-00010792-001,Vorinostat
MOL-00012003-001,Enpatoran
MOL-00012005-001,GSK2982772
MOL-00012005-002,GSK2982772
MOL-00012006-002,Bortezomib
MOL-00012008-002,dBET6
MOL-00012009-003,TAK-279
MOL-00012010-001,Binimetinib
MOL-00012011-001,Geldanamycin
MOL-00012012-001,cyclosporin
MOL-00012065-001,M12065
MOL-00012119-001,SB525334
MOL-00012309-001,SC9420
MOL-00012310-001,Pravastatin_sodium
MOL-00012311-001,Indomethacin
MOL-00012312-001,NA-Gly
MOL-00012323-001,H151
MOL-00012476-002,ART26.12
MOL-00012477-002,Flavopiridol
MOL-00012580-001,M12580
MOL-00012582-002,Nintedanib
MOL-00012583-002,Pirfenidone
MOL-00012585-001,GW7647
MOL-00012586-001,ARN231453
MOL-00012588-001,GWPlusARN
MOL-00012590-001,CuET
MOL-00012591-001,Disulfiram
MOL-00012592-001,Iniparib
MOL-00012593-001,Olaparib
MOL-00012594-001,Rucaparib
MOL-00012595-001,Veliparib
MOL-00012597-001,Volasertib
MOL-00012598-001,BI-2536
MOL-00012599-001,Naltrexone
MOL-00012600-001,Colchicine
MOL-00012601-001,Doramapimod
MOL-00012602-001,Losartan
MOL-00012603-001,Monomethyl_fumarate
MOL-00012604-001,Sunitinib
MOL-00012605-001,Tecfidera
MOL-00012607-001,Lenalidomide
MOL-00012608-001,Dapsone
MOL-00012609-001,Gandotinib
MOL-00012614-001,Sorafenib
MOL-00012615-001,Nifuroxazide
MOL-00012616-001,Rosuvastatin_sodium
MOL-00012617-001,Simvastatin
MOL-00012618-001,Cerivastatin_sodium
MOL-00012619-001,CY-2002367
MOL-00012620-001,CY-2005773
MOL-00012621-001,CY-2011706
MOL-00012622-001,CY-2018463
MOL-00012623-001,CY-2019310
MOL-00012624-001,CY-2019331
MOL-00012625-001,CY-2025217
MOL-00012626-001,CY-2031736
MOL-00012627-001,CY-2031787
MOL-00012628-001,CY-2034034
MOL-00012629-001,CY-2011721
MOL-00012630-001,CY-2032489
NA,PMA
NONE,NONE
