sample	custom_content_biotype_counts_mqc_generalstats_custom_content_biotype_counts_percent_r_rna	r_se_qc_mqc_generalstats_rseqc_proper_pairs_percent	samtools_stats_mqc_generalstats_samtools_stats_error_rate	samtools_stats_mqc_generalstats_samtools_stats_non_primary_alignments	samtools_stats_mqc_generalstats_samtools_stats_reads_mapped	samtools_stats_mqc_generalstats_samtools_stats_reads_mapped_percent	samtools_stats_mqc_generalstats_samtools_stats_reads_properly_paired_percent	samtools_stats_mqc_generalstats_samtools_stats_reads_mq0_percent	samtools_stats_mqc_generalstats_samtools_stats_raw_total_sequences	samtools_flagstat_mqc_generalstats_samtools_flagstat_flagstat_total	samtools_flagstat_mqc_generalstats_samtools_flagstat_mapped_passed	samtools_flagstat_mqc_generalstats_samtools_flagstat_mapped_passed_pct	star_mqc_generalstats_star_uniquely_mapped_percent	star_mqc_generalstats_star_uniquely_mapped	umi_tools_dedup_mqc_generalstats_umi_tools_dedup_dedup_output_reads	umi_tools_dedup_mqc_generalstats_umi_tools_dedup_dedup_percent_passing	sort_me_rna_mqc_generalstats_sortmerna_r_rna_pct	fast_qc_raw_mqc_generalstats_fastqc_raw_percent_duplicates	fast_qc_raw_mqc_generalstats_fastqc_raw_percent_gc	fast_qc_raw_mqc_generalstats_fastqc_raw_avg_sequence_length	fast_qc_raw_mqc_generalstats_fastqc_raw_median_sequence_length	fast_qc_raw_mqc_generalstats_fastqc_raw_percent_fails	fast_qc_raw_mqc_generalstats_fastqc_raw_total_sequences	cutadapt_mqc_generalstats_cutadapt_percent_trimmed	fast_qc_trimmed_mqc_generalstats_fastqc_trimmed_percent_duplicates	fast_qc_trimmed_mqc_generalstats_fastqc_trimmed_percent_gc	fast_qc_trimmed_mqc_generalstats_fastqc_trimmed_avg_sequence_length	fast_qc_trimmed_mqc_generalstats_fastqc_trimmed_median_sequence_length	fast_qc_trimmed_mqc_generalstats_fastqc_trimmed_percent_fails	fast_qc_trimmed_mqc_generalstats_fastqc_trimmed_total_sequences	sample_2
K562_GSK2982772_20_24_NONE_A12_50	2.96942041367656e-05	92.8902956692623	0.003144654	2910531	68542145	100	100	0.181031684958211	68542145	71452676	71452676	100	94.99	51782056	35904598	64.01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	K562_GSK2982772_20_24_NONE_A12_50
K562_GSK2982772_10_24_NONE_A14_50	2.51996441810242e-05	92.631771252856	0.002991393	4083877	91509640	100	100	0.197782441281596	91509640	95593517	95593517	100	94.6	55356237	48049047	79.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	K562_GSK2982772_10_24_NONE_A14_50
K562_DMSO_0_24_NONE_A16_50	2.7496817047021e-05	93.1573225175657	0.003232976	2331771	57397816	100	100	0.182332721509822	57397816	59729587	59729587	100	95.51	50767444	30003063	54.74	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	K562_DMSO_0_24_NONE_A16_50
K562_Deucravacitinib_1.25_24_NONE_A18_50	3.38962934038126e-05	92.8454471016983	0.003101511	3715662	86937494	100	100	0.187179308389082	86937494	90653156	90653156	100	95.03	67564820	45555125	62.18	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	K562_Deucravacitinib_1.25_24_NONE_A18_50
K562_Deucravacitinib_0.625_24_NONE_A20_50	2.92747170552855e-05	93.0510231321984	0.003052063	2587157	61959194	100	100	0.183220588699072	61959194	64546351	64546351	100	95.08	40072959	32426733	74.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	K562_Deucravacitinib_0.625_24_NONE_A20_50
K562_Deucravacitinib_0.312_24_NONE_A22_50	0.000113030415876287	92.8138742557505	0.003187304	4483057	104523900	100	100	0.192028808722216	104523900	109006957	109006957	100	95.04	78138794	54793882	64.63	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	K562_Deucravacitinib_0.312_24_NONE_A22_50
K562_GSK2982772_0.156_24_NONE_A24_50	2.28949826378189e-05	93.001201026531	0.002967187	4118476	98100748	100	100	0.183898699732646	98100748	102219224	102219224	100	94.94	69467269	51370393	68.31	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	K562_GSK2982772_0.156_24_NONE_A24_50
K562_Deucravacitinib_0.039_24_NONE_B1_50	1.32363570749811e-05	92.7780643777334	0.002966037	3736302	85759331	100	100	0.192714889531962	85759331	89495633	89495633	100	94.65	53572683	44981469	77.35	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	K562_Deucravacitinib_0.039_24_NONE_B1_50
K562_cyclosporin_20_24_NONE_B11_50	2.52170031191271e-05	93.5713931172045	0.002922002	2409042	62664808	100	100	0.180654826230378	62664808	65073850	65073850	100	95.58	37544850	32684820	80.87	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	K562_cyclosporin_20_24_NONE_B11_50
K562_cyclosporin_5_24_NONE_B13_50	6.58039056771602e-05	93.3514211625335	0.002779929	3000559	75517800	100	100	0.181452584688643	75517800	78518359	78518359	100	95.5	45783538	39443328	79.84	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	K562_cyclosporin_5_24_NONE_B13_50
