MolID,Treatment
MOL-00010574-004,Deucravacitinib
MOL-00012005-001,GSK2982772
MOL-00000458-003,rapamycin
MOL-00012012-001,cyclosporin
MOL-00001082-002,M082
MOL-00000525-001,M525
MOL-00010541-001,IKK-16
MOL-00010235-002,M235
MOL-00010082-005,M082
MOL-00010574-002,M574
MOL-00010255-005,M255
MOL-00000443-003,FK506
MOL-00010574-005,Deucravacitinib
MOL-00010701-002,GSK2256294
MOL-00010730-003,pomalidomide
MOL-00010731-004,Selisistat
MOL-00012005-002,GSK2982772
MOL-00012006-002,Bortezomib
MOL-00012008-002,dBET6
MOL-00012009-003,TAK-279
MOL-00012010-001,Binimetinib
MOL-00012353-001,Adalimumab
MOL-00012077-001,FABP5-IN-1
MOL-00012323-001,H151
MOL-00000576-002,EXP3174
MOL-00012602-001,Losartan
MOL-00012582-002,Nintedanib
MOL-00012583-002,Pirfenidone
MOL-00012599-001,Naltrexone
MOL-00012603-001,Monomethyl fumarate
MOL-00012605-001,Dimethyl fumarate
MOL-00012601-001,Doramapimod
MOL-00012598-001,BI 2536
MOL-00012600-001,Colchicine
MOL-00012604-001,Sunitinib
MOL-00012597-001,Volasertib
MOL-00012477-002,Flavopiridol
MOL-00012591-001,Disulfiram
MOL-00012595-001,Veliparib
MOL-00012592-001,Iniparib
MOL-00012593-001,Olaparib
MOL-00012594-001,Rucaparib
MOL-00012607-001,Lenalidomide
MOL-00012590-001,CuET
MOL-00012609-001,Gandotinib
MOL-00012608-001,Dapsone
MOL-00000369-003,Methotrexate
MOL-00012618-001,Cerivastatin Sodium
MOL-00012615-001,Nifuroxazide
MOL-00012616-001,Rosuvastatin sodium
MOL-00012617-001,Simvastatin
MOL-00012614-001,Sorafenib
MOL-00010730-002,pomalidomide
COT-00000006-002,anti_CD3_CD28
COT-00000001-004,TNFa
COT-00000015-001,TGFb
COT-00000020-001,AngII
COT-00000016-001,oxLDL
COT-00000017-001,IL4
COT-00000018-001,IL13
COT-00000010-001,LPS
COT-00000004-002,R848
COT-00000019-001,HGF
COT-00000022-001,BSA_palmitic_acid
COT-00000023-001,fatty_acid_free_BSA
COT-00000024-001,IL4_IL13


