"MolID","Treatment"
"MOL-00000576-002","EXP3174"
"MOL-00012602-001","Losartan"
"MOL-00012582-002","Nintedanib"
"MOL-00012583-002","Pirfenidone"
"MOL-00012599-001","Naltrexone"
"MOL-00012603-001","Monomethyl fumarate"
"MOL-00012605-001","Tecfidera"
"MOL-00012601-001","Doramapimod"
"MOL-00012598-001","BI 2536"
"MOL-00012600-001","Colchicine"
"MOL-00012604-001","Sunitinib"
"MOL-00012597-001","Volasertib"
"MOL-00012477-002","Flavopiridol"
"MOL-00012591-001","Disulfiram"
"MOL-00012595-001","Veliparib"
"MOL-00012592-001","Iniparib"
"MOL-00012593-001","Olaparib"
"MOL-00012594-001","Rucaparib"
"MOL-00012607-001","Lenalidomide"
"MOL-00012590-001","CuET"
"MOL-00012609-001","Gandotinib"
"MOL-00012608-001","Dapsone"
"MOL-00000369-003","Methotrexate"
"MOL-00012618-001","Cerivastatin Sodium"
"MOL-00012615-001","Nifuroxazide"
"MOL-00012616-001","Rosuvastatin sodium"
"MOL-00012617-001","Simvastatin"
"MOL-00012614-001","Sorafenib"
"COT-00000001-001","TNFa"
"COT-00000001-002","TNFa"
"COT-00000001-003","TNFa"
"COT-00000001-004","TNFa"
"COT-00000002-001","Pam3Csk4"
"COT-00000003-001","IFNa2b"
"COT-00000003-002","IFNa2b"
"COT-00000004-001","R848"
"COT-00000004-002","R848"
"COT-00000004-003","R848"
"COT-00000005-001","cGAMP"
"COT-00000006-001","CD3_CD28"
"COT-00000006-002","CD3_CD28"
"COT-00000007-001","cGAMP"
"COT-00000007-002","cGAMP"
"COT-00000008-001","PolyIC"
"COT-00000009-001","IFNb"
"COT-00000010-001","LPS"
"COT-00000010-003","LPS"
"COT-00000011-001","IFNy"
"COT-00000011-002","IFNy"
"COT-00000012-001","IL-6"
"COT-00000013-001","IL-12"
"COT-00000014-001","IL-23"
"COT-00000015-001","TGFb"
"COT-00000016-001","oxLDL"
"COT-00000017-001","IL-4"
"COT-00000018-001","IL-13"
"COT-00000019-001","HGF"
"COT-00000020-001","AngII"
NA,"PMA"
"COT-00000022-001","PA"
"COT-00000023-001","BSA"
"COT-00000024-001","IL-4_IL-13"
"COT-00000025-001","OA"
"COT-00000026-001","PA_OA"
"NONE","NONE"
"DMSO","DMSO"
