Sample	Custom content: Biotype Counts_mqc-generalstats-custom_content_biotype_counts-percent_rRNA	RSeQC_mqc-generalstats-rseqc-proper_pairs_percent	Samtools: stats_mqc-generalstats-samtools_stats-error_rate	Samtools: stats_mqc-generalstats-samtools_stats-non_primary_alignments	Samtools: stats_mqc-generalstats-samtools_stats-reads_mapped	Samtools: stats_mqc-generalstats-samtools_stats-reads_mapped_percent	Samtools: stats_mqc-generalstats-samtools_stats-reads_properly_paired_percent	Samtools: stats_mqc-generalstats-samtools_stats-reads_MQ0_percent	Samtools: stats_mqc-generalstats-samtools_stats-raw_total_sequences	Samtools: flagstat_mqc-generalstats-samtools_flagstat-flagstat_total	Samtools: flagstat_mqc-generalstats-samtools_flagstat-mapped_passed	Samtools: flagstat_mqc-generalstats-samtools_flagstat-mapped_passed_pct	STAR_mqc-generalstats-star-uniquely_mapped_percent	STAR_mqc-generalstats-star-uniquely_mapped	UMI Tools Dedup_mqc-generalstats-umi_tools_dedup-dedup_output_reads	UMI Tools Dedup_mqc-generalstats-umi_tools_dedup-dedup_percent_passing	SortMeRNA_mqc-generalstats-sortmerna-rRNA_pct	FastQC (raw)_mqc-generalstats-fastqc_raw-percent_duplicates	FastQC (raw)_mqc-generalstats-fastqc_raw-percent_gc	FastQC (raw)_mqc-generalstats-fastqc_raw-avg_sequence_length	FastQC (raw)_mqc-generalstats-fastqc_raw-median_sequence_length	FastQC (raw)_mqc-generalstats-fastqc_raw-percent_fails	FastQC (raw)_mqc-generalstats-fastqc_raw-total_sequences	Cutadapt_mqc-generalstats-cutadapt-percent_trimmed	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-percent_duplicates	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-percent_gc	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-avg_sequence_length	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-median_sequence_length	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-percent_fails	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-total_sequences
A-2024-0142_A12_S1	2.9694204136765567e-05	92.89029566926227	0.003144654	2910531.0	68542145.0	100.0	100.0	0.18103168495821076	68542145.0	71452676	71452676	100.0	94.99	51782056.0	35904598	64.01														
A-2024-0142_A12_S1_1																		42.94791537375255	49.0	150.0	150	18.181818181818183	56451961.0	2.909538131074814	57.75873820555578	49.0	141.88326357248724	145	18.181818181818183	55752143.0
A-2024-0142_A12_S1_2																	1.5956453907072237	43.37778131838468	50.0	150.0	150	18.181818181818183	56451961.0	3.027360445336938	58.18452533955348	50.0	141.75125492485554	145	18.181818181818183	55752143.0
A-2024-0142_A14_S2	2.5199644181024163e-05	92.63177125285598	0.002991393	4083877.0	91509640.0	100.0	100.0	0.1977824412815961	91509640.0	95593517	95593517	100.0	94.6	55356237.0	48049047	79.8														
A-2024-0142_A14_S2_1																		32.4924590578844	49.0	150.0	150	18.181818181818183	60307022.0	2.58014521895574	51.6829327236213	48.0	141.58299450293418	145	18.181818181818183	59906323.0
A-2024-0142_A14_S2_2																	1.7063724642221823	32.67535709828557	50.0	150.0	150	18.181818181818183	60307022.0	2.7040248629181476	52.004704475422685	50.0	141.44660813183276	145	18.181818181818183	59906323.0
A-2024-0142_A16_S3	2.749681704702097e-05	93.15732251756572	0.003232976	2331771.0	57397816.0	100.0	100.0	0.1823327215098219	57397816.0	59729587	59729587	100.0	95.51	50767444.0	30003063	54.74														
A-2024-0142_A16_S3_1																		49.22068678659532	49.0	150.0	150	18.181818181818183	55138196.0	2.44482318572773	61.333468024239224	49.0	142.66569205240103	145	18.181818181818183	54410244.0
A-2024-0142_A16_S3_2																	1.6319371771242195	49.844093072775095	50.0	150.0	150	18.181818181818183	55138196.0	2.577194994892845	62.04862707221405	50.0	142.50996152489225	145	18.181818181818183	54410244.0
A-2024-0142_A18_S4	3.3896293403812594e-05	92.84544710169826	0.003101511	3715662.0	86937494.0	100.0	100.0	0.1871793083890824	86937494.0	90653156	90653156	100.0	95.03	67564820.0	45555125	62.18														
A-2024-0142_A18_S4_1																		45.36863201111375	49.0	150.0	150	18.181818181818183	73404881.0	2.3479970982611755	60.581483258137716	49.0	142.13189740125253	145	18.181818181818183	72803072.0
A-2024-0142_A18_S4_2																	1.7459132768463397	46.43711192656224	50.0	150.0	150	18.181818181818183	73404881.0	2.4688890027391484	61.79532703216124	50.0	141.99446240400405	145	18.181818181818183	72803072.0
A-2024-0142_A20_S5	2.9274717055285487e-05	93.05102313219844	0.003052063	2587157.0	61959194.0	100.0	100.0	0.18322058869907185	61959194.0	64546351	64546351	100.0	95.08	40072959.0	32426733	74.8														
