Sample	total_passed	total_failed	secondary_passed	secondary_failed	supplementary_passed	supplementary_failed	duplicates_passed	duplicates_failed	mapped_passed	mapped_failed	mapped_passed_pct	mapped_failed_pct	paired in sequencing_passed	paired in sequencing_failed	read1_passed	read1_failed	read2_passed	read2_failed	properly paired_passed	properly paired_failed	properly paired_passed_pct	properly paired_failed_pct	with itself and mate mapped_passed	with itself and mate mapped_failed	singletons_passed	singletons_failed	singletons_passed_pct	singletons_failed_pct	with mate mapped to a different chr_passed	with mate mapped to a different chr_failed	with mate mapped to a different chr (mapQ >= 5)_passed	with mate mapped to a different chr (mapQ >= 5)_failed	flagstat_total
RSS0001465	27760687	0	2869516	0	0	0	0	0	27760687	0	100.0	nan	24891171	0	12408917	0	12482254	0	24891171	0	100.0	nan	24891171	0	0	0	0.0	nan	0	0	0	0	27760687
RSS0001466	33138241	0	2072066	0	0	0	0	0	33138241	0	100.0	nan	31066175	0	15496334	0	15569841	0	31066175	0	100.0	nan	31066175	0	0	0	0.0	nan	0	0	0	0	33138241
RSS0001467	36928598	0	3646548	0	0	0	0	0	36928598	0	100.0	nan	33282050	0	16596001	0	16686049	0	33282050	0	100.0	nan	33282050	0	0	0	0.0	nan	0	0	0	0	36928598
RSS0001468	31984842	0	1299396	0	0	0	0	0	31984842	0	100.0	nan	30685446	0	15327901	0	15357545	0	30685446	0	100.0	nan	30685446	0	0	0	0.0	nan	0	0	0	0	31984842
RSS0001469	26797567	0	1076077	0	0	0	0	0	26797567	0	100.0	nan	25721490	0	12848400	0	12873090	0	25721490	0	100.0	nan	25721490	0	0	0	0.0	nan	0	0	0	0	26797567
RSS0001470	29657706	0	1898498	0	0	0	0	0	29657706	0	100.0	nan	27759208	0	13848597	0	13910611	0	27759208	0	100.0	nan	27759208	0	0	0	0.0	nan	0	0	0	0	29657706
RSS0001471	36949736	0	2316474	0	0	0	0	0	36949736	0	100.0	nan	34633262	0	17275954	0	17357308	0	34633262	0	100.0	nan	34633262	0	0	0	0.0	nan	0	0	0	0	36949736
RSS0001472	23026626	0	1202275	0	0	0	0	0	23026626	0	100.0	nan	21824351	0	10902114	0	10922237	0	21824351	0	100.0	nan	21824351	0	0	0	0.0	nan	0	0	0	0	23026626
RSS0001473	31954600	0	1429648	0	0	0	0	0	31954600	0	100.0	nan	30524952	0	15248276	0	15276676	0	30524952	0	100.0	nan	30524952	0	0	0	0.0	nan	0	0	0	0	31954600
RSS0001474	29721530	0	1168486	0	0	0	0	0	29721530	0	100.0	nan	28553044	0	14263589	0	14289455	0	28553044	0	100.0	nan	28553044	0	0	0	0.0	nan	0	0	0	0	29721530
RSS0001475	30612904	0	1174143	0	0	0	0	0	30612904	0	100.0	nan	29438761	0	14705127	0	14733634	0	29438761	0	100.0	nan	29438761	0	0	0	0.0	nan	0	0	0	0	30612904
RSS0001476	31572435	0	1257878	0	0	0	0	0	31572435	0	100.0	nan	30314557	0	15142877	0	15171680	0	30314557	0	100.0	nan	30314557	0	0	0	0.0	nan	0	0	0	0	31572435
RSS0001477	30391063	0	1225152	0	0	0	0	0	30391063	0	100.0	nan	29165911	0	14569418	0	14596493	0	29165911	0	100.0	nan	29165911	0	0	0	0.0	nan	0	0	0	0	30391063
RSS0001478	27919338	0	1172112	0	0	0	0	0	27919338	0	100.0	nan	26747226	0	13361441	0	13385785	0	26747226	0	100.0	nan	26747226	0	0	0	0.0	nan	0	0	0	0	27919338
RSS0001479	26173393	0	1062290	0	0	0	0	0	26173393	0	100.0	nan	25111103	0	12543674	0	12567429	0	25111103	0	100.0	nan	25111103	0	0	0	0.0	nan	0	0	0	0	26173393
RSS0001480	27739974	0	1138951	0	0	0	0	0	27739974	0	100.0	nan	26601023	0	13288649	0	13312374	0	26601023	0	100.0	nan	26601023	0	0	0	0.0	nan	0	0	0	0	27739974
RSS0001481	41430597	0	1776732	0	0	0	0	0	41430597	0	100.0	nan	39653865	0	19807005	0	19846860	0	39653865	0	100.0	nan	39653865	0	0	0	0.0	nan	0	0	0	0	41430597
RSS0001482	38406820	0	1498058	0	0	0	0	0	38406820	0	100.0	nan	36908762	0	18436682	0	18472080	0	36908762	0	100.0	nan	36908762	0	0	0	0.0	nan	0	0	0	0	38406820
RSS0001483	36556050	0	1457209	0	0	0	0	0	36556050	0	100.0	nan	35098841	0	17532941	0	17565900	0	35098841	0	100.0	nan	35098841	0	0	0	0.0	nan	0	0	0	0	36556050
