Sample	total	rRNA	rRNA_pct	non_rRNA	non_rRNA_pct	rfam-5.8s-database-id98_pct	rfam-5.8s-database-id98_count	rfam-5s-database-id98_pct	rfam-5s-database-id98_count	silva-arc-16s-id95_pct	silva-arc-16s-id95_count	silva-arc-23s-id98_pct	silva-arc-23s-id98_count	silva-bac-16s-id90_pct	silva-bac-16s-id90_count	silva-bac-23s-id98_pct	silva-bac-23s-id98_count	silva-euk-18s-id95_pct	silva-euk-18s-id95_count	silva-euk-28s-id98_pct	silva-euk-28s-id98_count
RSS0001465_1																					
RSS0001465_2	109203028	27717087	25.38124400726324	81485941	74.61875599273677	0.24	262087.26719999997	0.3	327609.08400000003	0.42	458652.7176	2.27	2478908.7356000002	9.08	9915634.942400001	0.84	917305.4352	5.0	5460151.4	7.22	7884458.6216
RSS0001466_1																					
RSS0001466_2	61501294	3450353	5.610212038790598	58050941	94.38978796120941	0.05	30750.647	0.45	276755.82300000003	0.08	49201.035200000006	0.4	246005.176	2.63	1617484.0322	0.15	92251.941	0.77	473559.9638	1.08	664213.9752
RSS0001467_1																					
RSS0001467_2	84069094	24248468	28.84349865837736	59820626	71.15650134162264	0.6	504414.564	0.34	285834.9196	0.74	622111.2956000001	3.31	2782687.0113999997	2.97	2496852.0918	1.25	1050863.675	6.66	5599001.6604	12.96	10895354.582400002
RSS0001468_1																					
RSS0001468_2	54269602	3000611	5.5290823765392645	51268991	94.47091762346074	0.03	16280.880599999999	0.51	276774.97020000004	0.06	32561.761199999997	0.37	200797.52740000002	2.84	1541256.6967999998	0.14	75977.4428	0.57	309336.7314	1.01	548122.9802
RSS0001469_1																					
RSS0001469_2	44578724	2341540	5.252595386085972	42237184	94.74740461391403	0.03	13373.617199999999	0.54	240725.10960000003	0.06	26747.234399999998	0.37	164941.2788	2.55	1136757.4619999998	0.13	57952.341199999995	0.56	249640.85440000004	1.01	450245.1124
RSS0001470_1																					
RSS0001470_2	52318930	3759020	7.184818191044809	48559910	92.81518180895519	0.09	47087.037	0.47	245898.97099999996	0.14	73246.50200000001	0.65	340073.04500000004	2.61	1365524.0729999999	0.22	115101.64600000001	1.25	653986.625	1.76	920813.1680000001
RSS0001471_1																					
RSS0001471_2	75575294	5606988	7.419075339620908	69968306	92.5809246603791	0.07	52902.70580000001	0.45	340088.82300000003	0.13	98247.8822	0.59	445894.23459999997	3.27	2471312.1138	0.2	151150.588	1.19	899345.9985999999	1.52	1148744.4688
RSS0001472_1																					
RSS0001472_2	60262168	6335160	10.512665259570483	53927008	89.48733474042952	0.09	54235.951199999996	0.42	253101.10559999998	0.15	90393.25200000001	0.89	536333.2952	4.71	2838348.1128000002	0.32	192838.9376	1.58	952142.2544000001	2.35	1416160.948
RSS0001473_1																					
RSS0001473_2	67825634	4756050	7.012171828721867	63069584	92.98782817127812	0.07	47477.94380000001	0.47	318780.4798	0.12	81390.76079999999	0.56	379823.55040000007	3.0	2034769.02	0.19	128868.7046	1.15	779994.791	1.45	983471.693
RSS0001474_1																					
RSS0001474_2	46963960	2121304	4.516876345180432	44842656	95.48312365481956	0.04	18785.584000000003	0.55	258301.78000000003	0.06	28178.375999999997	0.37	173766.652	1.8	845351.2800000001	0.13	61053.147999999994	0.54	253605.38400000002	1.03	483728.788
RSS0001475_1																					
RSS0001475_2	47324144	2286241	4.831024518900965	45037903	95.16897548109904	0.03	14197.243199999999	0.55	260282.79200000002	0.07	33126.9008	0.34	160902.0896	2.33	1102652.5552	0.13	61521.3872	0.47	222423.47679999997	0.91	430649.71040000004
RSS0001476_1																					
RSS0001476_2	50548788	2579394	5.102781099321313	47969394	94.89721890067868	0.03	15164.6364	0.57	288128.0916	0.05	25274.394	0.35	176920.75799999997	2.48	1253609.9424	0.13	65713.4244	0.52	262853.6976	0.97	490323.2436
RSS0001477_1																					
RSS0001477_2	49150700	2724394	5.542940385386169	46426306	94.45705961461383	0.04	19660.280000000002	0.56	275243.92000000004	0.07	34405.490000000005	0.41	201517.86999999997	2.55	1253342.8499999999	0.15	73726.05	0.63	309649.41	1.13	555402.9099999999
RSS0001478_1																					
RSS0001478_2	49065852	3004696	6.123802762051294	46061156	93.87619723794872	0.06	29439.511199999997	0.53	260049.0156	0.09	44159.2668	0.51	250235.8452	2.44	1197206.7888	0.17	83411.94840000001	0.92	451405.8384	1.4	686921.928
RSS0001479_1																					
