Sample	total_reads	avg_input_read_length	uniquely_mapped	uniquely_mapped_percent	avg_mapped_read_length	num_splices	num_annotated_splices	num_GTAG_splices	num_GCAG_splices	num_ATAC_splices	num_noncanonical_splices	mismatch_rate	deletion_rate	deletion_length	insertion_rate	insertion_length	multimapped	multimapped_percent	multimapped_toomany	multimapped_toomany_percent	unmapped_mismatches_percent	unmapped_tooshort_percent	unmapped_other_percent	unmapped_mismatches	unmapped_tooshort	unmapped_other
RSS0001465	40169440.0	217.0	15387009.0	38.31	267.23	15548567.0	15526660.0	15373832.0	139724.0	18447.0	16564.0	0.41	0.01	1.9	0.01	1.9	1501577.0	3.74	8728.0	0.02	0.0	57.73	0.21	0	23187778	84348
RSS0001466	28792329.0	261.0	18114960.0	62.92	280.32	19694942.0	19672205.0	19500575.0	155650.0	20830.0	17887.0	0.37	0.01	1.92	0.01	1.92	1329364.0	4.62	3318.0	0.01	0.0	32.26	0.19	0	9289972	54715
RSS0001467	29511715.0	265.0	19697779.0	66.75	281.47	21105040.0	21079986.0	20861896.0	200673.0	22710.0	19761.0	0.4	0.01	1.9	0.01	1.96	1854374.0	6.28	4177.0	0.01	0.0	26.74	0.22	0	7890467	64918
RSS0001468	25416606.0	265.0	17508045.0	68.88	283.03	18947699.0	18927611.0	18758239.0	150640.0	21546.0	17274.0	0.35	0.01	1.92	0.01	1.69	581417.0	2.29	2739.0	0.01	0.0	28.71	0.11	0	7296449	27956
RSS0001469	20866499.0	265.0	14417447.0	69.09	282.21	15778532.0	15761501.0	15624934.0	122198.0	17435.0	13965.0	0.43	0.01	1.91	0.01	1.68	476763.0	2.28	2094.0	0.01	0.0	28.5	0.11	0	5947241	22954
RSS0001470	24079522.0	266.0	16128843.0	66.98	281.75	17320780.0	17301640.0	17151027.0	135887.0	18823.0	15043.0	0.35	0.01	1.92	0.01	1.9	1161445.0	4.82	2581.0	0.01	0.0	28.01	0.18	0	6743319	43334
RSS0001471	34712843.0	258.0	20764260.0	59.82	279.62	22265777.0	22241120.0	22022277.0	199604.0	23747.0	20149.0	0.36	0.01	1.91	0.01	1.9	1479823.0	4.26	4119.0	0.01	0.0	35.7	0.21	0	12391748	72893
RSS0001472	26762725.0	234.0	12280930.0	45.89	276.66	13372758.0	13356133.0	13236830.0	106304.0	16223.0	13401.0	0.37	0.01	1.89	0.01	1.67	477518.0	1.78	4870.0	0.02	0.0	52.19	0.12	0	13967292	32115
RSS0001473	31301637.0	251.0	17499018.0	55.9	279.94	18988400.0	18967260.0	18801264.0	147890.0	21235.0	18011.0	0.35	0.01	1.9	0.01	1.68	626367.0	2.0	4358.0	0.01	0.0	41.97	0.11	0	13137462	34432
RSS0001474	22217262.0	269.0	15980034.0	71.93	283.35	17587473.0	17569065.0	17416085.0	136129.0	19611.0	15648.0	0.37	0.01	1.9	0.01	1.69	519668.0	2.34	2206.0	0.01	0.0	25.62	0.11	0	5690920	24434
RSS0001475	22316956.0	271.0	16589481.0	74.34	284.01	18335664.0	18316695.0	18153738.0	145159.0	20438.0	16329.0	0.34	0.01	1.9	0.01	1.69	534424.0	2.39	1949.0	0.01	0.0	23.15	0.11	0	5166553	24549
RSS0001476	23752261.0	267.0	17075542.0	71.89	283.47	18559287.0	18539784.0	18372893.0	145296.0	24686.0	16412.0	0.36	0.01	1.91	0.01	1.67	557585.0	2.35	2478.0	0.01	0.0	25.64	0.11	0	6090527	26129
